,Name,Market Cap (GBP$ Billion)
0,Banco Bilbao Vizcaya Argentaria,44.44
1,Japan Post Bank,44.328
2,The Bank of New York Mellon,43.814
3,Shanghai Pudong Development Bank,43.062
4,Industrial Bank (China),42.031
5,Bank of China (Hong Kong),40.611
6,Bank of Montreal,38.95
7,Crédit Agricole,38.188
8,DBS Bank,37.7
9,Nordea,37.488
10,Capital One,37.431
11,NatWest Group,36.979
12,Mizuho Financial Group,36.633
13,Credit Suisse,35.493
14,Postal Savings Bank of China,35.117
15,China Minsheng Bank,35.097
16,UniCredit,34.992
17,China CITIC Bank,34.753
18,Hang Seng Bank,33.816
19,Société Générale,33.728
20,Barclays,33.58
21,Canadian Imperial Bank of Commerce,31.892
22,Bank Central Asia,31.745
23,Truist Financial,30.704
24,Oversea-Chinese Banking Corp,30.293
25,State Bank of India,29.708
26,State Street,29.127
27,Deutsche Bank,28.306
28,KBC Bank,28.12
29,Danske Bank,27.994
30,Ping An Bank,27.826
31,Standard Chartered,27.332
32,United Overseas Bank,25.728
33,QNB Group,24.579
34,Bank Rakyat,24.228
35,JPMorgan Chase,286.319
36,Industrial and Commercial Bank of China,252.834
37,Bank of America,238.272
38,Wells Fargo,225.588
39,China Construction Bank,188.519
40,HSBC Holdings PLC,160.593
41,Agricultural Bank of China,148.856
42,Citigroup Inc.,148.798
43,Bank of China,132.908
44,China Merchants Bank,89.804
45,Royal Bank of Canada,89.766
46,Banco Santander,84.736
47,Commonwealth Bank,82.195
48,Mitsubishi UFJ Financial Group,81.78
49,Toronto-Dominion Bank,79.428
50,BNP Paribas,75.626
51,Goldman Sachs,73.756
52,Sberbank of Russia,73.123
53,Morgan Stanley,72.984
54,U.S. Bancorp,69.254
55,HDFC Bank,64.77
56,Itaú Unibanco,63.135
57,Westpac,61.932
58,Scotiabank,57.821
59,ING Group,57.801
60,UBS,55.283
61,Charles Schwab,54.384
62,PNC Financial Services,52.913
63,Lloyds Banking Group,52.186
64,Sumitomo Mitsui Financial Group,49.311
65,Bank of Communications,49.128
66,Australia and New Zealand Banking Group,48.666
67,Banco Bradesco,47.471
68,National Australia Bank,46.723
69,Intesa Sanpaolo,45.432
70,Banco Bilbao Vizcaya Argentaria,44.44
71,Japan Post Bank,44.328
72,The Bank of New York Mellon,43.814
73,Shanghai Pudong Development Bank,43.062
74,Industrial Bank (China),42.031
75,Bank of China (Hong Kong),40.611
76,Bank of Montreal,38.95
77,Crédit Agricole,38.188
78,DBS Bank,37.7
79,Nordea,37.488
80,Capital One,37.431
81,NatWest Group,36.979
82,Mizuho Financial Group,36.633
83,Credit Suisse,35.493
84,Postal Savings Bank of China,35.117
85,China Minsheng Bank,35.097
86,UniCredit,34.992
87,China CITIC Bank,34.753
88,Hang Seng Bank,33.816
89,Société Générale,33.728
90,Barclays,33.58
91,Canadian Imperial Bank of Commerce,31.892
92,Bank Central Asia,31.745
93,Truist Financial,30.704
94,Oversea-Chinese Banking Corp,30.293
95,State Bank of India,29.708
96,State Street,29.127
97,Deutsche Bank,28.306
98,KBC Bank,28.12
99,Danske Bank,27.994
100,Ping An Bank,27.826
101,Standard Chartered,27.332
102,United Overseas Bank,25.728
103,QNB Group,24.579
104,Bank Rakyat,24.228
